marker,weight,model,abs_weight
ITGAX,-5.97526250810095,linear_svm,5.97526250810095
LAMP3,-3.44599084698159,linear_svm,3.44599084698159
CCR7,-1.75724375173847,linear_svm,1.75724375173847
MHC_AP_proxy,-0.794876467763116,linear_svm,0.794876467763116
PSMB9,-0.479375244805753,linear_svm,0.479375244805753
CD74,-0.466474387115022,linear_svm,0.466474387115022
PSMB8,-0.419140278889532,linear_svm,0.419140278889532
TAP1,-0.414792112349639,linear_svm,0.414792112349639
NLRC5,-0.373326144863787,linear_svm,0.373326144863787
B2M,-0.343423599559301,linear_svm,0.343423599559301
TAP2,-0.336421704428056,linear_svm,0.336421704428056
CIITA,-0.324843007743398,linear_svm,0.324843007743398
CD1C,0.108856397248499,linear_svm,0.108856397248499
CD274,-0.0717993546646174,linear_svm,0.0717993546646174
CD40,-0.0554123808728215,linear_svm,0.0554123808728215
CCL17,1.21430643318376e-16,linear_svm,1.21430643318376e-16
CLEC9A,2.77555756156289e-17,linear_svm,2.77555756156289e-17
